N = 6
q = 11
Calculated probability:
0.812842459277
Probability based on random polynomials
0.81158
####################################################
##################################################
N = 2
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.38281		4		0.72674		8		0.93704
3		0.44322		9		0.78579		27		0.97545
5		0.63991		25		0.92136		125		0.99680
7		0.73469		49		0.95960		343		0.99916
11		0.82396		121		0.98353		1331		0.99986
13		0.82226		169		0.92027		2197		0.99950
17		0.88581		289		0.99309		4913		0.99997
19		0.89750		361		0.99446		6859		0.99998
23		0.91463		529		0.99622		12167		0.99999
29		0.61184		841		0.98348		24389		0.99998
31		0.93652		961		0.99791		29791		0.99999
37		0.94660		1369		0.99853		50653		0.99999
41		0.94842		1681		0.99170		68921		0.99999
43		0.71933		1849		0.99245		79507		0.99999
47		0.95789		2209		0.99909		103823		0.99999
53		0.96259		2809		0.99928		148877		0.99999
59		0.96638		3481		0.99942		205379		0.99999
61		0.96748		3721		0.99946		226981		0.99999
67		0.97035		4489		0.99955		300763		0.99999
71		0.81989		5041		0.99722		357911		0.99999
##################################################
N = 15
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.30899		4		0.28642		8		0.37981
3		0.65843		9		0.86707		27		0.93977
5		0.768		25		0.88473		125		0.99520
7		0.62895		49		0.93766		343		0.99377
11		0.59568		121		0.88295		1331		0.99897
13		0.78644		169		0.98214		2197		0.99947
17		0.93788		289		0.98958		4913		0.99982
19		0.83623		361		0.95924		6859		0.99988
23		0.95470		529		0.99431		12167		0.99994
29		0.95750		841		0.98231		24389		0.99997
31		0.61149		961		0.98450		29791		0.99998
37		0.92108		1369		0.99780		50653		0.99999
41		0.88122		1681		0.99111		68921		0.99999
43		0.93184		1849		0.99837		79507		0.99999
47		0.97827		2209		0.99864		103823		0.99999
53		0.98078		2809		0.99893		148877		0.99999
59		0.98107		3481		0.99569		205379		0.99999
61		0.78040		3721		0.99597		226981		0.99999
67		0.95588		4489		0.99933		300763		0.99999
71		0.93060		5041		0.99702		357911		0.99999
##################################################
N = 16
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.5		4		0.75		8		0.9375
3		0.30448		9		0.37085		27		0.81974
5		0.37628		25		0.71678		125		0.97470
7		0.63594		49		0.71898		343		0.99335
11		0.80601		121		0.93550		1331		0.99890
13		0.71740		169		0.95349		2197		0.99943
17		0.37908		289		0.94605		4913		0.99980
19		0.89005		361		0.97802		6859		0.99987
23		0.90289		529		0.97017		12167		0.99994
29		0.86697		841		0.99052		24389		0.99997
31		0.92972		961		0.98347		29791		0.99998
37		0.89488		1369		0.99416		50653		0.99999
41		0.81879		1681		0.99052		68921		0.99999
43		0.95248		1849		0.99568		79507		0.99999
47		0.95486		2209		0.99278		103823		0.99999
53		0.92597		2809		0.99715		148877		0.99999
59		0.96555		3481		0.99770		205379		0.99999
61		0.93551		3721		0.99785		226981		0.99999
67		0.96972		4489		0.99821		300763		0.99999
71		0.97068		5041		0.99683		357911		0.99999
##################################################
N = 17
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.49610		4		0.73834		8		0.90860
3		0.66666		9		0.88888		27		0.98765
5		0.79999		25		0.95999		125		0.99839
7		0.85714		49		0.97959		343		0.99958
11		0.90909		121		0.99173		1331		0.99993
13		0.92294		169		0.99380		2197		0.99940
17		0.94117		289		0.99653		4913		0.99998
19		0.94736		361		0.99722		6859		0.99999
23		0.95652		529		0.99810		12167		0.99999
29		0.96551		841		0.99881		24389		0.99999
31		0.96774		961		0.99895		29791		0.99999
37		0.97297		1369		0.99926		50653		0.99999
41		0.97560		1681		0.99940		68921		0.99999
43		0.97674		1849		0.99945		79507		0.99999
47		0.97872		2209		0.99954		103823		0.99999
53		0.98113		2809		0.99964		148877		0.99999
59		0.98305		3481		0.99971		205379		0.99999
61		0.98360		3721		0.99973		226981		0.99999
67		0.98332		4489		0.99621		300763		0.99999
71		0.98591		5041		0.99980		357911		0.99999
##################################################
N = 18
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.36914		4		0.40879		8		0.82357
3		0.44444		9		0.79012		27		0.97546
5		0.58974		25		0.78255		125		0.99043
7		0.39196		49		0.88360		343		0.99750
11		0.81284		121		0.95142		1331		0.99959
13		0.61749		169		0.96501		2197		0.99978
17		0.86158		289		0.93951		4913		0.99978
19		0.37786		361		0.95129		6859		0.99986
23		0.91147		529		0.98871		12167		0.99997
29		0.93000		841		0.99288		24389		0.99999
31		0.82129		961		0.99377		29791		0.99999
37		0.61068		1369		0.98693		50653		0.99999
41		0.95068		1681		0.99643		68921		0.99999
43		0.86828		1849		0.99675		79507		0.99999
47		0.95703		2209		0.99728		103823		0.99999
53		0.95988		2809		0.99361		148877		0.99999
59		0.96583		3481		0.99827		205379		0.99999
61		0.90556		3721		0.99838		226981		0.99999
67		0.91371		4489		0.99866		300763		0.99999
71		0.97048		5041		0.99643		357911		0.99999
##################################################
N = 19
Prime 		Probability 	Prime^2 	Probability 	Prime^3 	Probability
2		0.49999		4		0.74999		8		0.93749
3		0.66666		9		0.88888		27		0.98765
5		0.79999		25		0.95999		125		0.9984
7		0.84225		49		0.97954		343		0.99958
11		0.90500		121		0.99173		1331		0.99993
13		0.92307		169		0.99408		2197		0.99996
17		0.94117		289		0.99653		4913		0.99998
19		0.94736		361		0.99722		6859		0.99999
23		0.95652		529		0.99810		12167		0.99999
29		0.96551		841		0.99881		24389		0.99999
31		0.96774		961		0.99895		29791		0.99999
37		0.96659		1369		0.98621		50653		0.99998
41		0.97560		1681		0.99940		68921		0.99999
